date,symbol,open,high,low,close
2025-06-30,ETH,65.08,65.31,63.1,63.1
2025-06-29,ETH,63.96,65.35,63.57,65.08
2025-06-28,ETH,65.59,65.6,62.71,63.96
2025-06-27,ETH,68.88,69.12,64.85,65.59
2025-06-26,ETH,69.32,69.32,67.78,68.88
2025-06-25,ETH,70.17,70.18,68.2,69.32
2025-06-24,ETH,71.1,71.6,69.81,70.17
2025-06-23,ETH,73.43,74.3,71.09,71.1
2025-06-22,ETH,76.25,76.81,71.95,73.43
2025-06-21,ETH,71.49,77.49,70.74,76.26
2025-06-20,ETH,72.64,72.9,69.77,71.49
2025-06-19,ETH,74.72,75.19,72.11,72.64
2025-06-18,ETH,75.19,76.0,74.34,74.72
2025-06-17,ETH,76.2,76.48,74.98,75.19
2025-06-16,ETH,78.15,78.15,74.28,76.2
2025-06-15,ETH,73.18,79.66,72.89,78.15
2025-06-14,ETH,74.82,75.14,72.38,73.18
2025-06-13,ETH,70.64,76.19,70.63,74.82
2025-06-12,ETH,71.92,72.0,69.61,70.64
2025-06-11,ETH,76.22,76.71,71.91,71.92
2025-06-10,ETH,70.45,76.63,70.25,76.22
2025-06-09,ETH,71.03,71.09,68.74,70.68
2025-06-08,ETH,71.26,71.44,70.24,71.03
2025-06-07,ETH,69.32,72.65,67.57,71.27
2025-06-06,ETH,72.45,72.5,69.3,69.32
2025-06-05,ETH,67.89,72.74,66.11,72.45
2025-06-04,ETH,68.38,68.39,67.27,67.9
2025-06-03,ETH,69.56,70.3,68.26,68.38
2025-06-02,ETH,72.23,72.45,69.07,69.56
2025-06-01,ETH,72.48,74.6,71.69,72.23
2025-05-31,ETH,71.41,72.88,69.96,72.48
2025-05-30,ETH,72.95,73.58,70.75,71.41
2025-05-29,ETH,70.14,73.22,69.86,72.95
2025-05-28,ETH,71.17,71.18,68.39,70.14
2025-05-27,ETH,71.8,72.29,70.6,71.17
2025-05-26,ETH,73.54,73.72,71.79,71.8
2025-05-25,ETH,72.74,74.66,72.68,73.54
2025-05-24,ETH,72.7,73.18,71.92,72.74
2025-05-23,ETH,74.79,75.1,72.41,72.7
2025-05-22,ETH,73.4,75.47,73.26,74.79
2025-05-21,ETH,70.88,73.59,70.65,73.4
2025-05-20,ETH,71.07,71.7,69.94,70.88
2025-05-19,ETH,74.3,75.23,70.6,71.07
2025-05-18,ETH,69.33,75.77,68.82,74.3
2025-05-17,ETH,68.94,70.34,68.35,69.33
2025-05-16,ETH,70.15,71.31,68.34,68.94
2025-05-15,ETH,70.83,71.52,67.12,70.15
2025-05-14,ETH,71.34,71.38,68.9,70.83
2025-05-13,ETH,68.93,73.96,68.37,71.34
2025-05-12,ETH,74.66,75.29,72.31,72.31
2025-05-11,ETH,75.46,76.41,73.67,74.66
2025-05-10,ETH,72.25,78.25,71.89,75.47
2025-05-09,ETH,66.97,73.61,66.2,72.25
2025-05-08,ETH,63.45,69.04,62.84,66.96
2025-05-07,ETH,64.3,65.01,63.07,63.45
2025-05-06,ETH,62.62,64.39,62.51,64.3
2025-05-05,ETH,65.12,65.57,62.47,62.62
2025-05-04,ETH,64.59,65.18,64.22,65.12
2025-05-03,ETH,64.35,64.7,63.87,64.59
2025-05-02,ETH,66.21,67.71,64.13,64.35
2025-05-01,ETH,66.48,67.62,65.7,66.22
2025-04-30,ETH,67.69,68.16,66.37,66.48
2025-04-29,ETH,68.1,68.58,67.49,67.69
